RQ1	都内 で わり と リーズナブル な お 店 を 探し て い ます
RQ2	お 酒 と ご飯 が 美味しい 、 イタリアン か 和食 の お 店 を 教え て 下さい
RQ3	ダズル という お 店 の 系列 店 で オススメ が あり まし たら 、 ぜひ 教え て ほしい です
RQ4	女子 二 人 で 行く 予定 です
RQ5	横浜 、 桜木 町 、 関内 周辺 で 雰囲気 の いい 和食 料理 屋 さん は あり ませ ん か
RQ6	今度 彼 の ご 両親 と 食事 を する こと に なり 、 横浜 や 桜木 町 、 関内 の 近く で あまり 堅苦しく ない 、 雰囲気 の いい 和食 の お 店 を 探し て い ます ><
RQ7	新宿 駅 近辺 で おいしい パン 屋 さん を 教え て 下さい
RQ8	ライ麦 パン や ドイツ パン など が 置い て ある お 店 を 探し て い ます
RQ9	神戸 駅 周辺 で 個室 の ある お 店 を 探し て い ます
RQ10	月末 に 子供 の 初 宮参り で 湊川 神社 に 行こ う と 思っ て いる の です が 、 umie で 写真 撮影 を し た 後 、 両家 の 両親 と で お昼 ご飯 を 食べよ う と なり まし た
RQ11	そこで 乳児 OK で 個室 の ある お 店 を 探し て い ます
RQ12	人数 は 子供 含め 7人 で 料理 ジャンル は 問い ませ ん
RQ13	都内 で 美味しい ハーブ ティー を 飲める お 店 は 何処 です か
RQ14	今度 彼女 と デート を する のに 、 彼女 が ハーブ ティー に 興味 が ある ので 、 美味しい ハーブ ティー を 飲める お 店 を 探し て い ます
RQ15	雰囲気 が 良く て オススメ の お 店 を 教え て ください
RQ16	に 友達 5人 で 遊ぶ の です が 、 夜 ご飯 を 食べる お 店 を 探し て い ます
RQ17	場所 は 、 大阪 の 難波 ・ 心斎橋 周辺 な の です が 、 ゆっくり しゃべる こと が でき て 料理 が 美味しく て 出来れ ば リーズナブル な お 店 知り ませ ん か
RQ18	もし 、 ご存知 の 方 教え て 下さい
RQ19	東京 駅 、 または 品川 駅 から 徒歩 10分 以内 で 、 イタリアン の ランチ ビュッフェ の お 店 を 探し て い ます
RQ20	ワイン 飲み 放題 が ある と なお いい の です が
RQ21	の 日曜日 に 利用 予定 です
RQ22	予算 は 飲み物 込み で 5000円 以内 くらい です
RQ23	新橋 駅 近く で ランチ を し たい の です が 、 お 勧め の 店 を 教え て ください
RQ24	でき たら 、 そのまま コーヒー を 楽しめる 店 が いい です
RQ25	航空 会館 スエヒロ に 行っ て い た の です が 倒産 し て しまい 、 その 代わり に なる 店 を 探し て い ます
RQ26	土地 勘 の ある 方 是非 よろしく お願い 致し ます
RQ27	宝塚 付近 の 美味しい ランチ について
RQ28	車 で 大 劇場 に 初めて 行き ます
RQ29	宝塚 インター から 大 劇場 まで の 道のり で 美味しい ランチ が 食べ られる お 店 を 探し て い ます
RQ30	ジャンル は 問わ ず 、 金額 は 一 人 2000円 代 まで を 予定 し て おり ます
RQ31	大 劇場 周辺 で も そう で なく て も 結構 です
RQ32	回答 お待ち し て おり ます
RQ33	仙台 駅 の 隣 駅 、 五橋 駅 徒歩 5分 ぐらい で 、 食事 を する お 店 を 探し て い ます
RQ34	美味しい ところ を 教え て 下さい
RQ35	・ PM 2時 ~ 3時 食事 可能 な ところ
RQ36	・ 予算 1万 円 ぐらい 、 旅行 な ので 贅沢 する つもり です ・ 懐石 、 鮨 、 フランス 料理 な ん で も 良い です
RQ37	19日 に 行く 予定 です
RQ38	兵庫 県 に 住ん で いる の です が 、 土曜日 に 愛知 県 に 車 で 行っ て 、 美味しい もの を 食べ たい です
RQ39	何 か おすすめ は あり ます か
RQ40	大阪 で 食べ られ ない もの が 食べ たい です
RQ41	何 か おすすめ を 教え て ほしい です
RQ42	私 の 名古屋 で 美味しい と 思っ た ところ は 1
RQ43	焼 とん かつ お ぜ き 2
RQ44	とん ちゃ ん ( どこ か 忘れ た ) 3
RQ45	スープ スパゲティ ( おいしい とこ が ある なら 食べ たい ) 4
RQ46	焼き鳥 つる こう ( ここ は おいしい ) 等 等 、 ですが 、 食べ たい の が 何 な の か … 他 も 含め て おすすめ が 知り たい です
RQ47	予約 不要 で 土曜日 ( 3月 1日 ) の 夜 19:00 ~ 20:00 くらい に 行ける お 店 を 探し て ます
RQ48	翌日 の ランチ も ついで に あれ ば お願い し ます
RQ49	とん ちゃ ん が 食べ たい 気 も かなり する ので 、 とん ちゃ ん の おいしい おすすめ の お 店 も あれ ば 教え て 下さい
RQ50	とん ちゃ ん は 今後 の 為 に 知っ て おき たい です
RQ51	おすすめ が とん ちゃ ん なら ぜひ 行き ます が
RQ52	是非 よろしく お願い し ます
RQ53	出来れ ば 明日 中 に … お願い し ます
RQ54	新宿 デート を する の です が 、 学生 な ので お金 が 厳しい ので 値段 は 安い ところ で 、 それなり に おしゃれ な お 店 を 探し て い ます
RQ55	どこ か おすすめ の ところ は あり ます か
RQ56	来週 の 火曜日 から 金曜日 まで 彼女 と 京都 に 旅行 に いき ます
RQ57	宿 は 全て 予約 済み な の です が 、 市内 で 美味し そう な 夜 ご飯 の お 店 を 探し て い ます
RQ58	ジャンル 、 予算 は 問い ませ ん
RQ59	オススメ なお 店 ご存知 の 方 、 ご 教授 下さい
RQ60	東京 都 在住 の 25歳 です
RQ61	横浜 周辺 で トリュフ または フォアグラ 料理 の 食べ られる 店 を 探し て い ます
RQ62	ご 回答 よろしく お願い し ます
RQ63	横浜 周辺 ( 電車 や タクシー で 移動 可能 な 範囲 、 横浜 駅 から 考え て 関内 程度 の 距離 は OK ) で 、 トリュフ 、 もしくは フォアグラ 料理 の 食べ られる お 店 を 探し て い ます
RQ64	条件 として 、 ・ 予算 は 一 人 あたり 2~ 3万 円 程度
RQ65	・ 高級 レストラン で も 良い の です が 、 あまり かしこまっ た 雰囲気 で は なく 和気あいあい と 会話 できる ( 多少 騒い だ として も 大丈夫 そう な ) 店
RQ66	条件 の 2 つ 目 が ポイント です
RQ67	お 酒 を 飲ん で 楽しく 冗談 や ふざけ た ( くだけ た ) 会話 の できる 雰囲気 の 店 を 探し て い ます
RQ68	( 大人 です ので けし て ふざけ 過ぎる という こと は あり ませ ん が 、 皆 お 酒 の 好き な メンバー です ので ) 個室 は あれ ば なお 良い の かも しれ ませ ん が 、 個室 は 絶対 条件 で は あり ませ ん
RQ69	※ なかなか 飲食 店 紹介 サイト 等 で は 店内 の 雰囲気 まで 分かる わけ で は ない ので 、 実際 に 行っ た こと の ある お 店 や 、 評判 が 条件 と 合う 店 、 おすすめ の 店 など 教え て ください
